date,asin,product_name,category,quantity_on_hand,quantity_sold,quantity_received,list_price,inventory_value_at_cost
2025-02-15,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,80,5,0,89.99,3360.0
2025-02-16,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,76,4,0,89.99,3192.0
2025-02-17,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,74,2,0,89.99,3108.0
2025-02-18,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,71,3,0,89.99,2982.0
2025-02-19,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,68,3,0,89.99,2856.0
2025-02-20,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,65,3,0,89.99,2730.0
2025-02-21,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,64,1,0,89.99,2688.0
2025-02-22,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,62,2,0,89.99,2604.0
2025-02-23,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,59,3,0,89.99,2478.0
2025-02-24,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,57,2,0,89.99,2394.0
2025-02-25,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,55,2,0,89.99,2310.0
2025-02-26,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,52,3,0,89.99,2184.0
2025-02-27,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,51,1,0,89.99,2142.0
2025-02-28,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,49,2,0,89.99,2058.0
2025-03-01,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,46,3,0,89.99,1932.0
2025-03-02,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,45,1,0,89.99,1890.0
2025-03-03,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,44,1,0,89.99,1848.0
2025-03-04,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,42,2,0,89.99,1764.0
2025-03-05,B09BLUET01,Sennox Pro 450 Wireless Bluetooth Noise-Cancelling Headphones,Audio,39,3,0,89.99,1638.0
