datetime,quantity,price_gbp,actual_food
2020-02-01 09:05:24,3,3.57,Apple Pie
2020-02-01 09:35:18,4,11.96,McChicken Sandwich
2020-02-01 11:14:08,3,14.97,Big Mac
2020-02-01 11:14:32,1,4.99,Big Mac
2020-02-01 11:28:37,4,7.96,Double Cheeseburger
2020-02-01 13:17:09,4,4.36,Hash Brown
2020-02-01 16:12:45,1,3.99,Chicken Nuggets 6pc
2020-02-01 17:12:45,3,5.97,Double Cheeseburger
2020-02-01 17:27:02,1,2.49,McFlurry Oreo
2020-02-01 18:47:57,1,1.09,Hash Brown
2020-02-01 19:29:34,1,2.19,Fries Medium
2020-02-01 20:51:10,1,2.19,Fries Medium
2020-02-01 21:22:38,3,8.97,McChicken Sandwich
2020-02-02 10:16:08,4,17.16,Filet-O-Fish
2020-02-02 10:23:22,3,5.97,Double Cheeseburger
2020-02-02 10:29:24,2,4.98,McFlurry Oreo
2020-02-02 11:41:31,3,3.57,Apple Pie
2020-02-02 11:52:02,1,2.99,McCafe Latte
2020-02-02 13:14:08,4,15.96,Chicken Nuggets 6pc
2020-02-02 14:17:04,3,8.97,McCafe Latte
2020-02-02 14:17:29,1,1.19,Apple Pie
2020-02-02 17:40:10,1,1.99,Double Cheeseburger
2020-02-02 18:20:53,2,4.38,Fries Medium
2020-02-02 19:37:27,3,3.57,Apple Pie
2020-02-02 19:59:43,3,3.57,Apple Pie
2020-02-02 20:18:05,2,9.98,Big Mac
2020-02-03 09:46:31,1,3.99,Chicken Nuggets 6pc
2020-02-03 10:23:48,2,3.98,Double Cheeseburger
2020-02-03 10:42:30,2,5.98,McChicken Sandwich
2020-02-03 11:03:15,3,8.97,McCafe Latte
2020-02-03 11:14:04,1,4.99,Quarter Pounder
2020-02-03 11:59:34,4,15.96,Chicken Nuggets 6pc
2020-02-03 12:33:55,2,4.98,McFlurry Oreo
2020-02-03 13:56:53,1,4.99,Big Mac
2020-02-03 14:10:29,3,8.97,McChicken Sandwich
